Issue Number; Title; Github URL; Labels; State; Created At; Updated At; Reporter; Assignee
783; "OPDS failure to resolve EPUB absolute URL"; https://github.com/edrlab/thorium-reader/issues/783; ""; closed; 10/11/2019; 10/28/2019; danielweck; panaC
782; "OPDS error handling, JSON payload in HTTP response cannot be parsed to OPDS2"; https://github.com/edrlab/thorium-reader/issues/782; ""; closed; 10/11/2019; 10/11/2019; danielweck; 
781; "OPDS 'buy' acquisition link only used in popup menu, missing in publication info panel"; https://github.com/edrlab/thorium-reader/issues/781; ""; closed; 10/10/2019; 11/15/2019; danielweck; Scarsniik
780; "Implement swipe on the reader view"; https://github.com/edrlab/thorium-reader/issues/780; ""; closed; 10/10/2019; 10/10/2019; llemeurfr; danielweck
779; "Filter duplicates in the Library view"; https://github.com/edrlab/thorium-reader/issues/779; ""; closed; 10/10/2019; 10/18/2019; llemeurfr; Scarsniik
778; "[RETRY] up readme.md"; https://github.com/edrlab/thorium-reader/pull/778; ""; closed; 10/10/2019; 10/10/2019; panaC; panaC
777; "Fixes #691 : better alignement for the list of publication"; https://github.com/edrlab/thorium-reader/pull/777; ""; closed; 10/09/2019; 10/09/2019; Scarsniik; 
776; "[FIX] replace msi with nsis in package.json"; https://github.com/edrlab/thorium-reader/pull/776; ""; closed; 10/09/2019; 10/09/2019; panaC; panaC
775; "[FIX] filter on '-' CLI"; https://github.com/edrlab/thorium-reader/pull/775; ""; closed; 10/09/2019; 10/09/2019; panaC; panaC
774; "Fixes #760 : change cursor when the go to page is disabled"; https://github.com/edrlab/thorium-reader/pull/774; ""; closed; 10/09/2019; 10/09/2019; Scarsniik; 
773; "Popup menu (library view), keyboard focus only returns to menu button with 'about this book' (not 'delete' and 'export'))"; https://github.com/edrlab/thorium-reader/issues/773; "accessibility,user-interface,ui-critical"; closed; 10/08/2019; 11/24/2022; danielweck; 
772; "changelog for next version"; https://github.com/edrlab/thorium-reader/pull/772; ""; closed; 10/08/2019; 06/15/2020; danielweck; 
771; "NPM package updates"; https://github.com/edrlab/thorium-reader/pull/771; ""; closed; 10/07/2019; 10/07/2019; danielweck; 
770; "enhance readme with img"; https://github.com/edrlab/thorium-reader/pull/770; ""; closed; 10/07/2019; 10/08/2019; panaC; panaC
769; "Request: Provide binary packages (deb/dmg/exe) for latest release"; https://github.com/edrlab/thorium-reader/issues/769; "question"; closed; 10/07/2019; 10/07/2019; ghost; 
768; "Fixes #750 : fixes crash when delete + scroll"; https://github.com/edrlab/thorium-reader/pull/768; ""; closed; 10/04/2019; 10/07/2019; Scarsniik; 
767; "Fixes #751 : fixes the percent encoding in opds search breadcrumb"; https://github.com/edrlab/thorium-reader/pull/767; ""; closed; 10/04/2019; 10/08/2019; Scarsniik; 
766; "Font face selector: preview rendering of fonts?"; https://github.com/edrlab/thorium-reader/issues/766; ""; closed; 10/04/2019; 02/11/2021; danielweck; 
765; "Font face selector: add system fonts?"; https://github.com/edrlab/thorium-reader/issues/765; ""; closed; 10/04/2019; 02/11/2021; danielweck; 
764; "Fixes #741 : fix alignement of reader header buttons"; https://github.com/edrlab/thorium-reader/pull/764; ""; closed; 10/04/2019; 10/04/2019; Scarsniik; 
763; "Screen reader issues with Narrator"; https://github.com/edrlab/thorium-reader/issues/763; "accessibility"; closed; 10/04/2019; 08/26/2022; danielweck; 
762; "'book imported' screen reader announcement missing (tested in JAWS)"; https://github.com/edrlab/thorium-reader/issues/762; "accessibility"; closed; 10/04/2019; 08/26/2022; danielweck; 
761; "Screen reader output does not sync reading progress in scroll and paginated views"; https://github.com/edrlab/thorium-reader/issues/761; "accessibility"; closed; 10/04/2019; 08/26/2022; danielweck; 
760; "'goto page' text input field and button need 'disabled' mouse pointer when in disabled state"; https://github.com/edrlab/thorium-reader/issues/760; "enhancement,user-interface"; closed; 10/04/2019; 10/09/2019; danielweck; Scarsniik
759; "publication info dialog, long description does not have the expand/collapse button (reader view, not library view)"; https://github.com/edrlab/thorium-reader/issues/759; ""; closed; 10/03/2019; 10/03/2019; danielweck; danielweck
758; "Fix for screen readers (NVDA in particular) which do not detect webview 'soft' refresh / new DOM in iframe (must be 'hard' webview load-from-scratch, including inner links / intra document navigation)"; https://github.com/edrlab/thorium-reader/pull/758; ""; closed; 10/03/2019; 10/04/2019; danielweck; 
757; "[FIX #299] add tag from book"; https://github.com/edrlab/thorium-reader/pull/757; ""; closed; 10/02/2019; 10/03/2019; panaC; panaC
756; "fix opds add form submit button color"; https://github.com/edrlab/thorium-reader/pull/756; ""; closed; 10/02/2019; 10/08/2019; Scarsniik; 
755; "changing reader theme skins it"; https://github.com/edrlab/thorium-reader/pull/755; ""; closed; 10/01/2019; 02/15/2022; Scarsniik; 
754; "Fixes #745 : add elipsis overflow on bookmark name"; https://github.com/edrlab/thorium-reader/pull/754; ""; closed; 09/30/2019; 10/01/2019; Scarsniik; 
753; "[fix #748] relative vs absolute opds feed url"; https://github.com/edrlab/thorium-reader/pull/753; ""; closed; 09/30/2019; 10/03/2019; panaC; panaC
